# # R_end, VR_end, VT_end
3.878131301395913511e+01,7.176089829461884673e-02,1.043442657046044246e+02
3.878232220505550742e+01,-5.705519672988490498e-02,1.043416266319724031e+02
3.878123177337749183e+01,8.348976887811998537e-02,1.043444167046662585e+02
3.878157222685508998e+01,4.055122915054110155e-02,1.043435260863736147e+02
3.878224357643014031e+01,-4.532634667417434482e-02,1.043417705950751468e+02
3.878257447236508426e+01,-8.826538434055619664e-02,1.043409057216140781e+02
3.878115029614071574e+01,9.521848447148983929e-02,1.043445683429794428e+02
3.878149162024914887e+01,5.227993668179886644e-02,1.043436753789710565e+02
3.878216471110604147e+01,-3.359765191838226528e-02,1.043419151964713762e+02
3.878249647770823572e+01,-7.653669580523825289e-02,1.043410479775107689e+02
3.878141077698292349e+01,6.400848948030279928e-02,1.043438253098142496e+02
3.878241824635396284e+01,-6.480816315525494975e-02,1.043411908716840770e+02
3.878132969707326794e+01,7.573688670683142998e-02,1.043439758788793910e+02
3.878166957664974035e+01,3.279816083585518349e-02,1.043430868055481113e+02
3.878233977830780077e+01,-5.307978612173080979e-02,1.043413344041260871e+02
3.878267010024143246e+01,-9.601901059324180476e-02,1.043404710755728786e+02
3.878124838053235379e+01,8.746512847972953697e-02,1.043441270861381156e+02
3.878158913070058134e+01,4.452639548797099334e-02,1.043432356672054198e+02
3.878226107358473485e+01,-4.135156473150269907e-02,1.043414785747993250e+02
3.878259226615381294e+01,-8.429079505741954303e-02,1.043406129008486687e+02
3.878150844811319331e+01,5.625447463297794659e-02,1.043433851670543362e+02
3.878251419538470657e+01,-7.256273563246540270e-02,1.043407553643618257e+02
3.878142752890030209e+01,6.798239826953877962e-02,1.043435353050706027e+02
3.878243588794258301e+01,-6.083483181421267538e-02,1.043408984660853491e+02
3.878134637306968813e+01,7.971016664642116556e-02,1.043436860812306293e+02
3.878168654917798364e+01,3.677124802053677310e-02,1.043427962076824969e+02
3.878235734384170996e+01,-4.910708386815398896e-02,1.043410422059853175e+02
3.878268796224981685e+01,-9.204650037639539040e-02,1.043401780773604202e+02
3.878126498063319616e+01,9.143777973405264881e-02,1.043438374955122896e+02
3.878160602728625150e+01,4.849885400448339379e-02,1.043429452764948593e+02
3.878227856308772914e+01,-3.737949139838603330e-02,1.043411865840533039e+02
3.878261005208609191e+01,-8.031891402565882743e-02,1.043403201101623665e+02
